id,title,authors,year,venue,search_string,v1_decision,v1_reason,v2_decision,v2_reason
14,BLUEmed: Retrieval-Augmented Multi-Agent Debate for Clinical Error Detection,Saukun Thika You and Nguyen Tuan Anh Tran and Wesley K. Marizane and Hanshu Rao and Qiu-Xia Zhang and Xiaolei Huang,2026,ArXiv,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
15,From Demonstrations to Rewards: Test-Time Prompt Optimization for VLM Reward Models,Christian Gumbsch et al.,2026,,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-T,EXCLUDE,EC-A
16,Neural Attention Memory,Hyoungwook Nam and Seung Byum Seo,2023,ArXiv,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
17,Mistral in Radiology: AI‐Powered Classification of Normal and Abnormal Reports,Pilar L'o,2025,International Journal of Imaging Systems and Technology,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
18,MuSc-V2: Zero-Shot Multimodal Industrial Anomaly Classification and Segmentation with Mutual Scoring of Unlabeled Samples,Xurui Li and Feng Xue and Yu Zhou,2025,IEEE transactions on pattern analysis and machine intelligence,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
19,SpaLLM-Guard: Pairing SMS Spam Detection Using Open-source and Commercial LLMs,Muhammad Salman et al.,2025,ArXiv,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
20,Reinforcement learning to improve large language model-based automated code compliance systems,Jack Wei Lun Shi et al.,2026,,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-T,EXCLUDE,EC-A
21,CLaDMoP: Learning Transferrable Models from Successful Clinical Trials via LLMs,Yiqing Zhang et al.,2025,Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
22,Towards Low-Resource Alignment to Diverse Perspectives with Sparse Feedback,Chu Luo and Samuel Dahan and Xiaodan Zhu,2025,ArXiv,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
23,How well do Large Language Models Recognize Instructional Moves? Establishing Baselines for Foundation Models in Educational Discourse,Kirk P. Vanacore and Ren'e,2025,ArXiv,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
24,PROSPER: Extracting Protocol Specifications Using Large Language Models,Prakhar Sharma and Vinod Yegneswaran,2023,Proceedings of the 22nd ACM Workshop on Hot Topics in Networks,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
25,PromptMix: A Class Boundary Augmentation Method for Large Language Model Distillation,Gaurav Sahu et al.,2023,Conference on Empirical Methods in Natural Language Processing,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
26,FireCLIP: Enhancing Forest Fire Detection with Multimodal Prompt Tuning and Vision-Language Understanding,Shanjunxia Wu et al.,2025,Fire,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
27,Potentials of ChatGPT for Annotating Vaccine Related Tweets,Md. Rafiul Biswas et al.,2023,SNAMS,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
28,Scalable Zero-Shot Logo Recognition,Mikhail Shulgin and Ilya Makarov,2023,IEEE Access,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
29,StressSpeak: A Speech-Driven Framework for Real-Time Personalized Stress Detection and Adaptive Psychological Support,Laraib Umer et al.,2025,Diagnostics,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
30,Prompt engineering in LLMs for automated unit test generation: A large-scale study,Wendk^u,2026,Empirical Software Engineering,"(""GPT-4"" OR ""large language model"" OR ""LLM"") AND (""traceability"" OR ""traceability link"") AND (""hallucination"" OR ""false positive"" OR ""non-existent"") AND (""few-shot"" OR ""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
31,"Urban cooling island effect of main river on a landscape scale in Chongqing, China",Lidan Cheng et al.,2019,Sustainable Cities and Society,"(""requirement-to-source-code"" OR ""requirement to code"") AND (""GPT-4"" OR ""LLM"") AND (""VSM"" OR ""LSI"" OR ""BM25"") AND (""class-level"" OR ""granularity"")",EXCLUDE,IC-E,EXCLUDE,EC-A
32,"The spatial granularity effect, changing landscape patterns, and suitable landscape metrics in the Three Gorges Reservoir Area, 1995–2015",Qian Zhang et al.,2020,Ecological Indicators,"(""requirement-to-source-code"" OR ""requirement to code"") AND (""GPT-4"" OR ""LLM"") AND (""VSM"" OR ""LSI"" OR ""BM25"") AND (""class-level"" OR ""granularity"")",EXCLUDE,IC-E,EXCLUDE,EC-A
33,Combining information retrieval modules and structural information for source code bug localization and feature location,Randy K. Smith et al.,2011,,"(""requirement-to-source-code"" OR ""requirement to code"") AND (""GPT-4"" OR ""LLM"") AND (""VSM"" OR ""LSI"" OR ""BM25"") AND (""class-level"" OR ""granularity"")",EXCLUDE,IC-T,EXCLUDE,EC-A
34,Comprehensive Evaluation and Insights Into the Use of Large Language Models in the Automation of Behavior-Driven Development Acceptance Test Formulation,Shanthi Karpurapu et al.,2024,IEEE Access,"(""GPT-4"" OR ""LLM"") AND (""few-shot prompting"" OR ""in-context learning"" OR ""examples"") AND (""traceability recovery"") AND (""hallucination reduction"")",EXCLUDE,IC-E,EXCLUDE,EC-A
35,In-Context Principle Learning from Mistakes,Tianjun Zhang et al.,2024,International Conference on Machine Learning,"(""GPT-4"" OR ""LLM"") AND (""few-shot prompting"" OR ""in-context learning"" OR ""examples"") AND (""traceability recovery"") AND (""hallucination reduction"")",EXCLUDE,IC-E,EXCLUDE,EC-A
36,Empowering open medium-sized generative language models for effective structured search in biomedical systematic reviews,Leandra Budau et al.,2026,International journal of medical informatics,"(""GPT-4"" OR ""LLM"") AND (""MAP"" OR ""MAP@10"" OR ""Recall"") AND (""software traceability"") AND (""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
37,LLM-based stemming for improved Gujarati information retrieval,Jasleen Kaur and Smit Patel,2025,Aslib Journal of Information Management,"(""GPT-4"" OR ""LLM"") AND (""MAP"" OR ""MAP@10"" OR ""Recall"") AND (""software traceability"") AND (""zero-shot"")",EXCLUDE,IC-E,EXCLUDE,EC-A
38,Enhancing Automated Software Traceability by Transfer Learning from Open-World Data,Jinfeng Lin et al.,2022,ArXiv,Snowballing,INCLUDE,"IC-L, IC-T",INCLUDE,"IC-L, IC-T, IC-E"
39,Traceability Transformed: Generating More Accurate Links with Pre-Trained BERT Models,Jinfeng Lin et al.,2021,2021 IEEE/ACM 43rd International Conference on Software Engineering (ICSE),Snowballing,INCLUDE,"IC-L, IC-T",INCLUDE,"IC-L, IC-T, IC-E"
40,AVIATE: Exploiting Translation Variants of Artifacts to Improve IR-based Traceability Recovery in Bilingual Software Projects,Kexin Sun et al.,2024,2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE),Snowballing,INCLUDE,"IC-L, IC-T",INCLUDE,"IC-L, IC-T, IC-E"
41,A Systematic Literature Review of Issue-Based Requirement Traceability,Yijing Lyu et al.,2023,IEEE Access,Snowballing,INCLUDE,"IC-L, IC-T",EXCLUDE,EC-N
42,Topic modeling in software engineering research,Camila Costa Silva et al.,2021,Empirical Software Engineering,Snowballing,INCLUDE,"IC-L, IC-T",EXCLUDE,EC-N
43,Natural Language-Programming Language Software Traceability Link Recovery Needs More than Textual Similarity,Zhiyuan Zou et al.,2025,ArXiv,Snowballing,INCLUDE,"IC-L, IC-T",INCLUDE,"IC-L, IC-T, IC-E"
44,Pitfalls and guidelines for using time-based Git data,Samuel W. Flint et al.,2022,Empirical Software Engineering,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
45,Applications of natural language processing in software traceability: A systematic mapping study,Zaki Pauzi and Andrea Capiluppi,2023,J. Syst. Softw.,Snowballing,INCLUDE,"IC-L, IC-T",EXCLUDE,EC-N
46,Escaping the Time Pit: Pitfalls and Guidelines for Using Time-Based Git Data,Samuel W. Flint and Jigyasa Chauhan and Robert Dyer,2021,2021 IEEE/ACM 18th International Conference on Mining Software Repositories (MSR),Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
47,Elevating Semantic Exploration: A Novel Approach Utilizing Distributed Repositories,Valerio Bellandi,2025,ArXiv,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
48,The Use of AI in Software Engineering: A Synthetic Knowledge Synthesis of the Recent Research Literature,Peter Kokol,2024,Inf.,Snowballing,INCLUDE,"IC-L, IC-T",EXCLUDE,EC-N
49,Designing NLP-based solutions for requirements variability management: experiences from a design science study at Visma,Parisa Elahidoost et al.,2024,ArXiv,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
50,Artificial Intelligence Applied in Legal Information: A Systematic Mapping Study,Juan DAlotto DAlotto et al.,2025,J. Comput. Sci. Technol.,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
51,Integrating AI Planning with Natural Language Processing: A Combination of Explicit and Tacit Knowledge,Kebing Jin and Hankz Hankui Zhuo,2022,ACM Transactions on Intelligent Systems and Technology,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
52,Natural Language Processing for Requirements Traceability,Jin L.C. Guo and Jan-Philipp Stegh,2024,ArXiv,Snowballing,INCLUDE,"IC-L, IC-T",EXCLUDE,EC-N
53,Dealing with Data for RE: Mitigating Challenges while using NLP and Generative AI,Smita Ghaisas and Anmol Singhal,2024,ArXiv,Snowballing,INCLUDE,"IC-L, IC-T",INCLUDE,"IC-L, IC-T, IC-E"
54,Natural Language Processing (NLP) Application For Classifying and Managing Tacit Knowledge in Revolutionizing AI-Driven Library,Wan Ainol Mursyida Ahmad Tarmizi et al.,2024,Information Management and Business Review,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
55,A Systematic Literature Review on the Use of Machine Learning in Software Engineering,Nyaga Fred and I. O. Temkin,2024,ArXiv,Snowballing,INCLUDE,"IC-L, IC-T",EXCLUDE,EC-N
56,A Traceability Framework to Enable Circularity in the Built Environment,Saman Davari et al.,2023,Sustainability,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
57,Explainability as a Compliance Requirement: What Regulated Industries Need from AI Tools for Design Artifact Generation,Syed Tauhid Ullah Shah et al.,2025,2025 IEEE 33rd International Requirements Engineering Conference Workshops (REW),Snowballing,UNSURE,"IC-L, IC-T",INCLUDE,"IC-L, IC-T, IC-E"
58,Computational linguistics and natural language processing techniques for semantic field extraction in Arabic online news,Maulana Ihsan Ahmad and Moh. Kanif Anwari,2024,Studies in English Language and Education,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
59,Word Translation Without Parallel Data,Alexis Conneau et al.,2017,ArXiv,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
60,Software Engineering Economics,Barry W. Boehm,1993,IEEE Transactions on Software Engineering,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
61,Google’s Multilingual Neural Machine Translation System: Enabling Zero-Shot Translation,Melvin Johnson et al.,2016,Transactions of the Association for Computational Linguistics,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
62,Trustrace: Mining Software Repositories to Improve the Accuracy of Requirement Traceability Links,Nasir Ali and Yann-Ga,2013,IEEE Transactions on Software Engineering,Snowballing,INCLUDE,"IC-L, IC-T",INCLUDE,"IC-L, IC-T, IC-E"
63,Ontology Matching: State of the Art and Future Challenges,Pavel Shvaiko and J'e,2013,IEEE Transactions on Knowledge and Data Engineering,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
64,Loss in Translation: Learning Bilingual Word Mapping with a Retrieval Criterion,Armand Joulin et al.,2018,Conference on Empirical Methods in Natural Language Processing,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
65,Google's Neural Machine Translation System: Bridging the Gap between Human and Machine Translation,Yonghui Wu et al.,2016,ArXiv,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
66,Supporting Systems Development by Capturing Deliberations During Requirements Engineering,Balasubramaniam Ramesh and Vasant Dhar,1992,IEEE Trans. Software Eng.,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
67,Tweet2Vec: Character-Based Distributed Representations for Social Media,Bhuwan Dhingra et al.,2016,ArXiv,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
68,Software reflexion models: bridging the gap between source and high-level models,Gail C. Murphy et al.,1995,Foundations of software engineering,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
69,Improving Distributional Similarity with Lessons Learned from Word Embeddings,Omer Levy et al.,2015,Transactions of the Association for Computational Linguistics,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
70,Techniques for automatically correcting words in text,Karen Kukich,1992,ACM Comput. Surv.,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
71,An Information Retrieval Approach For Automatically Constructing Software Libraries,Yoelle Maarek et al.,1991,IEEE Trans. Software Eng.,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
72,How to Construct Deep Recurrent Neural Networks,Razvan Pascanu and Çaglar G,2013,CoRR,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
73,Information retrieval models for recovering traceability links between code and documentation,Giuliano Antoniol et al.,2000,International Conference on Software Maintenance,Snowballing,INCLUDE,"IC-L, IC-T",INCLUDE,"IC-L, IC-T, IC-E"
74,Development of Safety-Critical Software Systems Using Open Source Software -- A Systematic Map,Sardar Muhammad Sulaman et al.,2014,2014 40th EUROMICRO Conference,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
75,Unsupervised Cross-lingual Word Embedding by Multilingual Neural Language Models,Takashi Wada and Tomoharu Iwata,2018,ArXiv,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
76,gIBIS: a hypertext tool for exploratory policy discussion,Jeff Conklin and Michael L. Begeman,1988,ACM Transactions on Information Systems (TOIS),Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
77,Reasoning about Entailment with Neural Attention,Tim Rockt,2015,CoRR,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
78,Visualizing and Understanding Recurrent Networks,Andrej Karpathy et al.,2015,ArXiv,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
79,Distributed Representations of Words and Phrases and their Compositionality,Tomas Mikolov et al.,2013,Neural Information Processing Systems,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
80,An empirical study on project-specific traceability strategies,Patrick Rempel and Patrick M,2013,2013 21st IEEE International Requirements Engineering Conference (RE),Snowballing,INCLUDE,"IC-L, IC-T",INCLUDE,"IC-L, IC-T, IC-E"
81,Traceability in the Wild: Automatically Augmenting Incomplete Trace Links,Michael Rath et al.,2018,2018 IEEE/ACM 40th International Conference on Software Engineering (ICSE),Snowballing,INCLUDE,"IC-L, IC-T",INCLUDE,"IC-L, IC-T, IC-E"
82,Automatic Traceability Maintenance via Machine Learning Classification,Chris Mills et al.,2018,2018 IEEE International Conference on Software Maintenance and Evolution (ICSME),Snowballing,INCLUDE,"IC-L, IC-T",INCLUDE,"IC-L, IC-T, IC-E"
83,Impact analysis-Towards a framework for comparison,Robert S. Arnold and Shawn A. Bohner,1993,1993 Conference on Software Maintenance,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
84,Technique Integration for Requirements Assessment,Alex Dekhtyar et al.,2007,15th IEEE International Requirements Engineering Conference (RE 2007),Snowballing,INCLUDE,"IC-L, IC-T",INCLUDE,"IC-L, IC-T, IC-E"
85,Cover,,2022,2022 International Conference on Information Technology Research and Innovation (ICITRI),Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
86,Advances in Pre-Training Distributed Word Representations,Tomas Mikolov et al.,2017,ArXiv,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
87,NLTK: The Natural Language Toolkit,Steven Bird,2006,Annual Meeting of the Association for Computational Linguistics,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
88,Design recovery for maintenance and reuse,Ted J. Biggerstaff,1989,Computer,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
89,Program understanding and the concept assignment problem,Ted J. Biggerstaff et al.,1994,Commun. ACM,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
90,A High-Throughput Screening Approach to Discovering Good Forms of Biologically Inspired Visual Representation,Nicolas Pinto et al.,2009,PLoS Computational Biology,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
91,An analysis of the requirements traceability problem,Olly Gotel and Anthony Finkelstein,1994,Proceedings of IEEE International Conference on Requirements Engineering,Snowballing,INCLUDE,"IC-L, IC-T",INCLUDE,"IC-L, IC-T, IC-E"
92,Probabilistic latent semantic indexing,Thomas Hofmann,1999,International ACM SIGIR Conference,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
93,Syntactic/semantic interactions in programmer behavior: A model and experimental results,Ben Shneiderman and Richard E. Mayer,1979,International Journal of Computer & Information Sciences,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
94,Generalized vector spaces model in information retrieval,S. K. M. Wong et al.,1985,International ACM SIGIR Conference,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
95,BilBOWA: Fast Bilingual Distributed Representations without Word Alignments,Stephan Gouws et al.,2014,International Conference on Machine Learning,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
96,Semantically Enhanced Software Traceability Using Deep Learning Techniques,Jin L.C. Guo et al.,2017,2017 IEEE/ACM 39th International Conference on Software Engineering (ICSE),Snowballing,INCLUDE,"IC-L, IC-T",EXCLUDE,EC-A
97,Bidirectional recurrent neural networks,Mike Schuster and Kuldip K. Paliwal,1997,IEEE Trans. Signal Process.,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
98,Term-Weighting Approaches in Automatic Text Retrieval,Gerard Salton and Chris Buckley,1988,Inf. Process. Manag.; Newly Added Batch,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
99,Efficient Estimation of Word Representations in Vector Space,Tomas Mikolov et al.,2013,International Conference on Learning Representations,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
100,The quest for Ubiquity: A roadmap for software and systems traceability research,Olly Gotel et al.,2012,20th IEEE International Requirements Engineering Conference (RE),Snowballing,INCLUDE,"IC-L, IC-T",EXCLUDE,EC-A
101,A Survey of Cross-lingual Word Embedding Models,Sebastian Ruder et al.,2017,J. Artif. Intell. Res.,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
102,On the Properties of Neural Machine Translation: Encoder–Decoder Approaches,Kyunghyun Cho et al.,2014,SSST@EMNLP,Snowballing,EXCLUDE,IC-E,EXCLUDE,EC-A
